27,45,9,9,1134,S,91
27,45,9,9,1134,SW,91
27,45,9,9,1134,SE,91
36,36,9,9,1215,SE,90
36,36,9,18,1134,S,91
36,36,9,18,1134,SW,92
36,36,9,18,1134,SE,92
36,36,18,9,1134,S,90
36,36,18,9,1134,SW,91
36,45,18,18,1296,SW,92
36,45,18,18,1296,SE,92
45,36,18,18,1296,S,91
45,36,18,18,1296,SW,92
45,36,18,18,1296,SE,92
54,27,18,18,1134,S,92
54,27,18,18,1134,SW,94
54,27,18,18,1134,SE,94
36,45,18,27,1134,S,95
36,45,18,27,1134,SW,95
36,45,18,27,1134,SE,95
45,36,18,27,1134,S,95
45,36,18,27,1134,SW,95
45,36,18,27,1134,SE,115
45,36,27,18,1134,S,94
45,36,27,18,1134,SW,94
45,36,27,18,1134,SE,94
63,27,27,18,1215,S,94
63,27,27,18,1215,SW,94
63,27,27,18,1215,SE,94
45,45,27,27,1296,S,94
45,45,27,27,1296,SW,94
45,45,27,27,1296,SE,94
54,36,27,27,1215,S,95
54,36,27,27,1215,SW,95
54,36,27,27,1215,SE,95
54,45,36,36,1134,S,100
54,45,36,36,1134,SW,100
54,45,36,36,1134,SE,100
54,54,36,45,1296,S,100
54,54,36,45,1296,SW,100
54,54,36,45,1296,SE,100
63,45,45,36,1215,S,100
63,45,45,36,1215,SW,100
63,45,45,36,1215,SE,100
